subject,session,task,n_trials,n_sm_channels,b00,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23
sub-025,ses-03,motorimagery,19,9,-0.896414,-0.909616,-0.908715,-1.10022,-0.986538,-1.06608,-0.869976,-1.14459,-0.953155,-1.10653,-1.06272,-1.37031,-1.05894,-1.20234,-1.13154,-1.1009,-0.907057,-0.886857,-0.96646,-1.03489,-1.02203,-1.20871,-1.10778,-1.07496
sub-025,ses-03,passivemotor,19,9,-0.878134,-1.21533,-0.777934,-1.09363,-0.760517,-1.15688,-0.821432,-1.08876,-0.622904,-1.14027,-0.859269,-0.977018,-0.786795,-1.15439,-1.06096,-1.02658,-0.804796,-1.02535,-0.895929,-1.29761,-0.764253,-1.07905,-1.04632,-1.24251
sub-026,ses-01,activemotor,19,9,-0.746139,-0.8513,-0.821685,-1.21059,-0.775405,-0.921882,-0.682902,-0.852467,-0.698687,-0.865156,-0.711583,-0.90889,-0.703085,-1.10215,-0.767194,-0.971861,-0.656788,-1.05897,-0.860948,-1.00629,-0.786289,-0.86982,-0.703917,-0.734633
sub-026,ses-01,motorimagery,19,9,-0.92463,-1.13551,-1.00898,-0.927625,-0.782201,-0.967013,-0.782673,-0.953523,-0.879079,-1.18564,-0.849009,-1.19938,-0.800497,-1.03762,-0.944575,-1.14486,-0.935183,-1.07772,-0.851539,-0.900249,-0.936748,-1.01642,-0.927635,-1.0724
sub-026,ses-01,passivemotor,19,9,-0.759416,-0.788708,-0.749376,-1.01655,-0.700722,-1.1504,-0.947274,-1.0658,-0.776725,-0.989608,-0.655402,-0.72204,-0.928014,-0.976024,-0.582224,-0.886823,-0.689846,-1.01132,-0.758452,-0.80151,-0.799886,-1.03257,-0.810343,-0.934449
sub-026,ses-02,activemotor,19,9,-0.836483,-1.15177,-0.867386,-0.966117,-0.83132,-1.00517,-0.955868,-0.869459,-0.833178,-1.08835,-0.92303,-0.912942,-0.857422,-0.996547,-0.755808,-0.852771,-0.728567,-1.08555,-0.782262,-1.01017,-0.892381,-1.04181,-0.910891,-0.875666
sub-026,ses-02,motorimagery,19,9,-0.819137,-0.874547,-0.747642,-0.99404,-0.967916,-0.801002,-0.824466,-0.989189,-0.694741,-0.955483,-0.720327,-0.887357,-0.768836,-0.883576,-0.791537,-0.759571,-0.9118,-0.990498,-0.734608,-0.925094,-0.923993,-0.967889,-0.740725,-1.1334
sub-026,ses-03,activemotor,19,9,-0.709059,-0.92772,-0.831974,-0.997296,-0.58494,-1.05694,-0.585403,-0.987933,-0.478118,-0.973154,-0.816102,-1.05898,-0.864942,-0.961651,-0.422074,-1.013,-0.748442,-1.02437,-0.597652,-0.93352,-0.80435,-0.89287,-0.766724,-0.952152
sub-026,ses-03,motorimagery,19,9,-0.989872,-0.991189,-0.790021,-1.00414,-0.967889,-1.03317,-1.00845,-0.941347,-0.876973,-0.951209,-0.759532,-1.11706,-0.889461,-0.912567,-0.904442,-1.02775,-0.700357,-1.00132,-0.85966,-1.13321,-0.865671,-1.05747,-0.930621,-0.958764
sub-026,ses-03,passivemotor,19,9,-0.832492,-0.972293,-0.864666,-1.06188,-0.774894,-1.0489,-0.893325,-1.17867,-0.785635,-1.16746,-0.774329,-1.19308,-0.928866,-0.995435,-0.854948,-1.03343,-0.774059,-0.943955,-0.765947,-0.918436,-0.881309,-1.06611,-0.883822,-1.14816
sub-027,ses-01,activemotor,19,9,-0.797353,-0.779748,-0.847893,-1.14435,-0.866516,-0.902484,-0.741088,-0.941149,-0.90706,-0.960552,-0.72962,-0.877756,-0.672074,-1.04499,-0.785902,-0.855361,-0.893479,-0.733248,-0.793132,-0.894942,-0.65544,-0.84061,-0.862692,-0.904534
sub-027,ses-01,motorimagery,19,9,-0.998713,-0.992063,-0.834796,-1.04664,-1.04489,-1.15095,-1.00824,-1.03988,-0.80817,-1.05058,-0.942699,-1.13572,-0.91411,-1.14216,-0.979209,-1.15195,-0.925966,-0.781336,-1.00949,-0.930022,-1.02489,-1.09717,-0.763504,-0.918081
sub-027,ses-02,activemotor,19,9,-0.834524,-0.899663,-0.742959,-0.936006,-0.824891,-1.12644,-0.837478,-1.08234,-0.819653,-0.990615,-0.8287,-0.999554,-1.02582,-1.01928,-1.00925,-1.05296,-0.898877,-1.02459,-0.70533,-1.08177,-0.719857,-0.915059,-0.954519,-0.843875
sub-027,ses-02,motorimagery,19,9,-0.63337,-0.868249,-0.804994,-0.899357,-0.68007,-0.779551,-0.746705,-0.958552,-0.709318,-0.721276,-0.753287,-0.993341,-0.763208,-1.00758,-0.591335,-0.888161,-0.685743,-0.959679,-0.994119,-0.973202,-0.835178,-0.851128,-0.650914,-0.789114
sub-027,ses-03,activemotor,19,9,-0.726352,-0.928456,-0.872917,-0.989615,-0.969114,-1.02081,-0.717492,-0.960223,-0.896706,-1.07301,-0.761125,-1.02327,-0.699522,-0.812372,-0.878496,-0.882398,-0.750856,-1.17458,-0.748535,-0.819012,-0.960532,-0.930808,-0.762364,-0.739101
sub-027,ses-03,motorimagery,19,9,-0.95882,-0.907206,-0.855603,-1.05919,-0.799379,-1.00751,-0.893025,-1.08966,-1.01888,-1.09031,-1.0276,-1.06819,-0.972612,-0.922659,-0.926212,-1.15889,-0.833535,-1.00297,-1.01104,-1.00664,-0.757372,-0.933179,-0.893793,-0.719234
