subject,session,task,n_trials,n_sm_channels,n_channels,erd_sm,erd_wholehead,sfreq
sub-020,ses-01,motorimagery,19,9,33,-0.007598299595113649,0.04050419746477483,250.0
sub-020,ses-01,passivemotor,19,9,33,0.20628699307214204,0.1870957111835118,250.0
sub-020,ses-02,activemotor,19,9,33,0.25129962829155145,0.25408808200889405,250.0
sub-020,ses-02,motorimagery,19,9,33,0.13542873024085605,0.14150927540412608,250.0
sub-020,ses-03,motorimagery,19,9,33,-0.07605917566846707,0.20502034642382733,250.0
sub-021,ses-01,activemotor,19,9,33,0.11779212465188688,0.40324426951615694,250.00050000099998
sub-021,ses-01,motorimagery,19,9,33,0.1584225939771107,0.15747440257848244,250.00050000099998
sub-021,ses-02,motorimagery,19,9,33,0.1066847928898754,0.054549926921539156,250.00025000025002
sub-021,ses-03,activemotor,19,9,33,0.17660142670933068,0.10696741486590718,250.00050000099998
sub-021,ses-03,motorimagery,19,9,33,0.07706163040778398,0.3825378375605773,250.00050000099998
sub-022,ses-01,activemotor,19,9,33,0.18269002043988336,0.4972451235128055,250.00075000225
sub-022,ses-01,motorimagery,19,9,33,0.40247100468716407,0.3153510745419654,250.00075000225
sub-022,ses-01,passivemotor,19,9,33,0.2265632500677478,0.19167251468071658,250.00075000225
sub-022,ses-02,motorimagery,19,9,33,0.2642084115087404,0.21403052417426635,250.00075000225
sub-022,ses-03,activemotor,19,9,33,0.24617969989943234,0.26803541401291886,250.00075000225
sub-022,ses-03,motorimagery,19,9,33,1.787293067911286,1.7827907036323445,250.00075000225
sub-023,ses-01,activemotor,19,9,33,0.17139239544495763,0.4714376833561154,250.00050000099998
sub-023,ses-01,motorimagery,19,9,33,0.22404095927429007,0.16813087507144334,250.00050000099998
sub-023,ses-02,motorimagery,19,9,33,0.03191453966501295,0.018817746839609285,250.0022500202502
sub-023,ses-03,motorimagery,19,9,33,0.15422366025375303,0.4282512577276066,250.0022500202502
sub-024,ses-01,activemotor,19,9,33,0.2644534173262823,0.5335312707732954,250.00200001600012
sub-024,ses-01,motorimagery,19,9,33,0.0378601498290651,0.038618845228921526,250.00200001600012
sub-024,ses-02,activemotor,19,9,33,0.10345679816786864,0.0695229102529272,250.0022500202502
sub-024,ses-02,motorimagery,19,9,33,0.07483707691476466,0.04193266217779962,250.0022500202502
sub-024,ses-03,motorimagery,19,9,33,0.25996044206275154,0.244552940194177,250.00200001600012
sub-024,ses-03,passivemotor,19,9,33,0.3060039035068948,0.5047448063681705,250.00200001600012
sub-025,ses-01,activemotor,19,9,33,0.07485367738087634,0.36523484765914754,250.00200001600012
sub-025,ses-01,motorimagery,19,9,33,0.18958225823425248,0.24338964181367492,250.00200001600012
sub-025,ses-01,passivemotor,19,9,33,0.19892057886337386,0.16504830200949538,250.00200001600012
sub-025,ses-02,activemotor,19,9,33,0.07077668503200281,0.07814125533568954,250.00200001600012
sub-025,ses-02,motorimagery,19,9,33,0.24802122853880207,0.08379034249041123,250.00200001600012
sub-025,ses-02,passivemotor,19,9,33,0.16537242535212252,0.4552076997255707,250.00200001600012
sub-025,ses-03,activemotor,19,9,33,0.29773109629667,0.2778530195422295,250.0022500202502
sub-025,ses-03,motorimagery,19,9,33,0.03882579465393995,-0.0442851022200824,250.0022500202502
sub-025,ses-03,passivemotor,19,9,33,0.019494277303682406,0.33983361510625015,250.0022500202502
sub-026,ses-01,activemotor,19,9,33,0.1936589583988661,0.48501383732591385,250.0022500202502
sub-026,ses-01,motorimagery,19,9,33,0.08963370085610775,0.1104909023388991,250.0022500202502
sub-026,ses-01,passivemotor,19,9,33,0.22216135306866971,0.1453576947604641,250.0022500202502
sub-026,ses-02,activemotor,19,9,33,0.2293243780181888,0.21652643422296713,250.0022500202502
sub-026,ses-02,motorimagery,19,9,33,0.23092056749377474,0.16182072405563666,250.0022500202502
sub-026,ses-03,activemotor,19,9,33,0.2182674804622599,0.1825056600002709,250.0022500202502
sub-026,ses-03,motorimagery,19,9,33,0.0924340434616015,0.376236675636387,250.0022500202502
sub-026,ses-03,passivemotor,19,9,33,0.11391898764352683,0.0922294321125863,250.0022500202502
sub-027,ses-01,activemotor,19,9,33,0.2924253450751207,0.5162726215646831,250.00275003025033
sub-027,ses-01,motorimagery,19,9,33,0.10468949257214892,0.11747664709955837,250.00275003025033
sub-027,ses-02,activemotor,19,9,33,0.03493033014941867,0.006528948167443513,250.0022500202502
sub-027,ses-02,motorimagery,19,9,33,0.21736977436605584,0.1867198806769954,250.0022500202502
sub-027,ses-03,activemotor,19,9,33,0.22056932865116224,0.08498474025323867,250.00200001600012
sub-027,ses-03,motorimagery,19,9,33,0.10119579331953063,0.3716142579743354,250.00200001600012
sub-028,ses-01,activemotor,19,9,33,0.103887871586818,0.38335557374299656,250.0022500202502
sub-028,ses-01,motorimagery,19,9,33,0.09215351565652723,0.08894704819233099,250.0022500202502
sub-028,ses-01,passivemotor,19,9,33,0.17437991083390944,0.4800097767435371,250.0022500202502
sub-028,ses-02,motorimagery,19,9,33,0.21775334941851812,0.21341338674173171,250.0022500202502
sub-028,ses-02,passivemotor,19,9,33,0.2106285852079492,0.21548805000864893,250.0022500202502
sub-028,ses-03,activemotor,19,9,33,0.11449114706420416,0.12333165550103023,250.0022500202502
sub-028,ses-03,motorimagery,19,9,33,0.21951070130046133,0.48090007651420746,250.0022500202502
sub-028,ses-03,passivemotor,19,9,33,0.2463419644533861,0.5400011356767168,250.0022500202502
sub-029,ses-01,activemotor,19,9,33,0.057442585547433304,0.4599852638594192,250.0022500202502
sub-029,ses-01,motorimagery,19,9,33,0.19826243509278363,0.24354763540316549,250.0022500202502
sub-029,ses-02,activemotor,19,9,33,0.14905051970290553,0.19107385447435532,250.0022500202502
sub-029,ses-02,motorimagery,19,9,33,0.17381810784830956,0.17620049004699692,250.0022500202502
sub-029,ses-03,activemotor,19,9,33,0.14545487113518818,0.17401701106649764,250.0022500202502
sub-029,ses-03,motorimagery,19,9,33,0.23251530118898414,0.18355834949861796,250.0022500202502
sub-029,ses-03,passivemotor,19,9,33,0.06254647301660667,0.42829548784316696,250.0022500202502
sub-030,ses-01,activemotor,19,9,33,0.1908234972182268,0.49088706779770586,250.00150000900004
sub-030,ses-01,motorimagery,19,9,33,0.3189694705818239,0.27462996398314005,250.00150000900004
sub-030,ses-02,motorimagery,19,9,33,0.11117032371218805,0.16568508091537837,250.00300003600043
sub-030,ses-03,activemotor,19,9,33,0.0704365007085746,0.07487526928156729,250.0022500202502
sub-030,ses-03,motorimagery,19,9,33,0.16802201914792517,0.1174131198065598,250.0022500202502
