subject,status,error,imagery_auc,perm_p,perm_null_mean,n_trials,n_left,n_right,n_perm
S095,ok,,0.233201581027668,0.9800995024875622,0.47392292490118576,45,23,22,200
S096,ok,,0.5632411067193676,0.24378109452736318,0.46355731225296437,45,23,22,200
S097,ok,,0.6956521739130435,0.029850746268656716,0.454001976284585,45,23,22,200
S098,ok,,0.35177865612648224,0.7761194029850746,0.4389624505928854,45,23,22,200
S099,ok,,0.4762845849802372,0.48258706467661694,0.4635474308300395,45,22,23,200
S101,ok,,0.5612648221343873,0.23880597014925373,0.4743181818181818,45,22,23,200
S102,ok,,0.3675889328063241,0.7412935323383084,0.45286561264822134,45,22,23,200
S103,ok,,0.4782608695652174,0.4129353233830846,0.4486166007905139,45,22,23,200
S104,ok,,0.47835497835497837,0.47761194029850745,0.4726839826839827,43,22,21,200
S105,ok,,0.3438735177865613,0.8507462686567164,0.4673221343873518,45,23,22,200
S106,ok,,0.31746031746031744,0.900497512437811,0.46602182539682546,45,24,21,200
S107,ok,,0.38293650793650796,0.7263681592039801,0.45305555555555554,45,24,21,200
S108,ok,,0.5296442687747036,0.2736318407960199,0.45609683794466405,45,22,23,200
S109,ok,,0.22332015810276679,0.9850746268656716,0.4728162055335969,45,23,22,200
