recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,meta_task,meta_acq,meta_run,critical_slowing_ar1,emg_beta_gamma_fraction,emg_index,emg_kurtosis,exponent_gamma,exponent_high,exponent_low,lempel_ziv,multiscale_entropy_slope,pac_slow_alpha,relative_alpha_power,relative_delta_power,spatial_participation_ratio,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
ds005620/sub-1067/eeg/sub-1067_task-sed_acq-tms_run-3_eeg.vhdr,ds005620,sub-1067,ok,,64,5000,600000,sed,tms,3,0.4863538395,0.4092915782,0.7041980434,1115.705391,0.1665115464,0.1901824464,0.5743602369,0.3868099788,0.07188651593,,0.09490865046,0.3060795659,0.01953302493,41.67591282,0.9017176657,0.4725971642,0.3098877874,0.07031098853
ds005620/sub-1068/eeg/sub-1068_task-awake_acq-tms_eeg.vhdr,ds005620,sub-1068,ok,,64,5000,600000,awake,tms,,0.4842285417,0.4676518046,0.7336116245,2332.419775,0.109822892,0.0466269379,0.5899330334,0.442893468,0.2672026392,,0.05250914856,0.6523301869,0.03181242784,35.72996906,0.6938096707,0.04375557506,0.03961932683,0.111301048
ds005620/sub-1068/eeg/sub-1068_task-sed_acq-tms_run-1_eeg.vhdr,ds005620,sub-1068,ok,,64,5000,600000,sed,tms,1,0.4564877181,0.4797047311,0.7396462304,2424.592805,0.1064414834,0.1110871528,0.3229797596,0.3943232459,0.129478668,,0.1217549473,0.1067468937,0.03931191962,42.51947776,0.9944492091,0.2874748089,0.1819096884,0.1441239202
ds005620/sub-1071/eeg/sub-1071_task-awake_acq-tms_eeg.vhdr,ds005620,sub-1071,ok,,64,5000,600000,awake,tms,,0.5346270214,0.3733052559,0.6864610625,2609.074258,-0.07149107063,0.03511407661,0.9130208828,0.43653509,0.06768726507,,0.1092144862,0.2005764632,0.03955937649,42.22464747,0.9737825953,0.4383870191,0.3217703196,0.04058805309
ds005620/sub-1071/eeg/sub-1071_task-sed_acq-tms_run-1_eeg.vhdr,ds005620,sub-1071,ok,,64,5000,600000,sed,tms,1,0.4601570018,0.38976462,0.6945201084,1379.44693,0.01338867223,0.4148552725,0.4333317516,0.5274079902,0.09668160309,,0.1283549852,0.1008315687,0.05136746438,42.54406067,0.9958154701,0.4989585305,0.3625788754,0.09664991542
ds005620/sub-1071/eeg/sub-1071_task-sed_acq-tms_run-2_eeg.vhdr,ds005620,sub-1071,ok,,64,5000,600000,sed,tms,2,0.4842053466,0.3666551537,0.6830682524,1927.086616,0.07933880235,0.235632741,0.6959488558,0.4905942792,0.07914429584,,0.05090713993,0.7039702712,0.05567313779,32.09287765,0.6407871886,0.786702221,0.4289237025,0.08364838236
ds005620/sub-1074/eeg/sub-1074_task-awake_acq-tms_eeg.vhdr,ds005620,sub-1074,ok,,64,5000,600000,awake,tms,,0.4732060275,0.4764752605,0.7380207178,2304.077972,0.06217442384,0.03006560406,0.5015530027,0.4079613179,0.2195439512,,0.1088246282,0.1460132229,0.03048676259,42.54619343,0.9839206469,0.1219174661,0.06896228858,0.03206639252
ds005620/sub-1074/eeg/sub-1074_task-sed_acq-tms_run-1_eeg.vhdr,ds005620,sub-1074,ok,,64,5000,600000,sed,tms,1,0.45185639,0.5053400873,0.7524887708,2757.273189,0.07883398207,0.03666291249,0.3142036342,0.3583529932,0.1280139592,,0.1115111498,0.105209049,0.03781156296,42.64378788,0.993932488,0.1406800671,0.1014904595,0.08303238236
ds005620/sub-1074/eeg/sub-1074_task-sed_acq-tms_run-2_eeg.vhdr,ds005620,sub-1074,ok,,64,5000,600000,sed,tms,2,0.4399000947,0.5109260798,0.7552780047,2701.18851,0.07954777262,0.1172413727,0.1851387003,0.5766789315,0.2110284057,,0.1171245747,0.08649490168,0.0287134163,42.69534789,0.9983831354,0.2485071515,0.1094680332,0.03322110138
ds005620/sub-1074/eeg/sub-1074_task-sed_acq-tms_run-3_eeg.vhdr,ds005620,sub-1074,ok,,64,5000,600000,sed,tms,3,0.4532912894,0.4631086771,0.7313626302,2607.128373,0.04225614443,0.1118210465,0.264792008,0.538502711,0.0556844343,,0.1329144932,0.1170190275,0.04611677245,42.4815726,0.9917201988,0.2827882902,0.1672072954,0.0782173326
