subject,status,error,csp_auc,perm_p,perm_null_mean,n_trials,n_left,n_right,n_channels,n_perm
S001,ok,,0.666008,0.054726,0.496833,45,23,22,64,200
S002,ok,,0.966403,0.004975,0.498330,45,23,22,64,200
S055,ok,,0.938735,0.004975,0.493256,0.946640,0.004975,0.497436,45,23,22,64,3,200
S061,ok,,0.666996,0.064677,0.491166,0.794466,0.004975,0.477021,45,22,23,64,3,200
S058,ok,,0.315476,0.990050,0.521949,0.535714,0.293532,0.481280,45,24,21,64,3,200
S064,ok,,0.624506,0.114428,0.491665,0.743083,0.004975,0.477307,45,23,22,64,3,200
S059,ok,,0.386905,0.875622,0.497917,0.544643,0.318408,0.497684,45,24,21,64,3,200
S065,ok,,0.652778,0.044776,0.487044,0.656746,0.034826,0.489335,45,24,21,64,3,200
S062,ok,,0.966403,0.004975,0.500158,0.974308,0.004975,0.495598,45,23,22,64,3,200
S068,ok,,0.426877,0.766169,0.490040,0.567194,0.223881,0.481611,45,22,23,64,3,200
S063,ok,,0.620553,0.119403,0.484377,0.695652,0.014925,0.484639,45,22,23,64,3,200
S069,ok,,0.565476,0.179104,0.467113,0.623016,0.104478,0.488814,45,24,21,64,3,200
S066,ok,,0.417984,0.786070,0.499916,0.571146,0.164179,0.481136,45,22,23,64,3,200
S072,ok,,0.998024,0.004975,0.495795,0.984190,0.004975,0.500296,45,22,23,64,3,200
S067,ok,,0.615613,0.119403,0.490153,0.525692,0.333333,0.490578,45,22,23,64,3,200
S073,ok,,0.558300,0.263682,0.494748,0.496047,0.572139,0.507243,45,23,22,64,3,200
S070,ok,,0.820158,0.004975,0.493577,0.871542,0.004975,0.493671,45,22,23,64,3,200
S076,ok,,0.666008,0.029851,0.477831,0.407115,0.870647,0.500445,45,23,22,64,3,200
S077,ok,,0.373016,0.855721,0.488800,0.507937,0.432836,0.494410,45,21,24,64,3,200
S071,ok,,0.796443,0.004975,0.494125,0.755929,0.019900,0.501462,45,22,23,64,3,200
S074,ok,,0.545635,0.343284,0.500640,0.452381,0.671642,0.490312,45,24,21,64,3,200
S080,ok,,0.537549,0.298507,0.479101,0.636364,0.064677,0.469516,45,23,22,64,3,200
S081,ok,,0.786561,0.014925,0.498483,0.814229,0.004975,0.496072,45,22,23,64,3,200
S075,ok,,0.802372,0.004975,0.501581,0.833992,0.004975,0.496462,45,22,23,64,3,200
S078,ok,,0.438735,0.656716,0.484032,0.435771,0.711443,0.491838,45,23,22,64,3,200
S084,ok,,0.653162,0.064677,0.481813,0.714427,0.019900,0.483370,45,23,22,64,3,200
S079,ok,,0.562253,0.248756,0.496136,0.438735,0.796020,0.504595,45,22,23,64,3,200
S082,ok,,0.553360,0.343284,0.498039,0.704545,0.014925,0.510504,45,23,22,64,3,200
